indCol,player_name,teams_played_for,league,games,minutes_played,goals,npg,assists,xG,xA,npxG,xG90,xA90,npxG90,position,shots,key_passes,yellow_cards,red_cards,xGBuildup,xGChain
41,Andre Gray,Watford,EPL,29,1343,7,7,2,5.848624136298895,2.099873559549451,5.848624136298895,0.39194056013916645,0.14072123630636676,0.39194056013916645,F S,35,14,2,0,0.7475268170237541,7.4810860846191645
42,Ryan Fraser,Bournemouth,EPL,38,3185,7,7,14,4.76355167478323,16.183833203278482,4.76355167478323,0.13460585580235188,0.45731396806752383,0.13460585580235188,F M S,51,93,2,0,7.556321180425584,19.631537167355418
43,Bernardo Silva,Manchester City,EPL,36,2851,7,7,7,8.19672245066613,8.63292844966054,8.19672245066613,0.2587530763100497,0.27252317098191814,0.2587530763100497,F M S,62,71,3,0,16.891506848856807,29.93142929673195
44,Gabriel Jesus,Manchester City,EPL,29,993,7,6,3,12.621464371681213,2.65164215862751,11.860295534133911,1.143939369034551,0.2403301050115568,1.074951256870143,F S,43,21,1,0,4.9908908531069756,16.592424385249615
45,James Maddison,Leicester,EPL,36,2877,7,6,7,7.372484354302287,7.935438400134444,5.850146671757102,0.23063037604699543,0.24824103441505038,0.183007716530462,F M S,83,100,3,1,6.9679553234018385,15.30455419793725
46,David Brooks,Bournemouth,EPL,30,2317,7,7,5,6.465657105669379,5.877871762961149,6.465657105669379,0.25114766487278556,0.22831612372313484,0.25114766487278556,F M S,41,30,3,0,6.750987499952316,16.89172164350748
47,André Schürrle,Fulham,EPL,24,1670,6,6,0,3.322769967839122,1.9269959963858128,3.322769967839122,0.1790714353925275,0.10385008363755877,0.1790714353925275,F M S,55,21,2,0,1.6823589345440269,5.964587731286883
48,Ilkay Gündogan,Manchester City,EPL,31,2133,6,6,3,4.213995780795813,4.967495605349541,4.213995780795813,0.17780572914750264,0.20959897068985403,0.17780572914750264,M S,43,43,3,0,15.749667078256607,19.06555214524269
49,Henrikh Mkhitaryan,Arsenal,EPL,25,1647,6,6,4,5.343566609546542,6.48603293299675,5.343566609546542,0.29199817538505696,0.3544280291255055,0.29199817538505696,F M S,49,29,1,0,8.282573003321886,16.100104700773954
50,Michail Antonio,West Ham,EPL,33,2084,6,6,4,6.066020864993334,4.029214847832918,6.066020864993334,0.26196827152082536,0.17400639937858092,0.26196827152082536,D F M S,65,23,3,0,3.387628575786948,11.179384602233768
51,David Silva,Manchester City,EPL,33,2426,6,6,8,8.128266392275691,10.113783121109009,8.128266392275691,0.3015432709418022,0.37520217679299706,0.3015432709418022,M S,51,73,3,0,18.84659132361412,30.80764201655984
52,Ruben Loftus-Cheek,Chelsea,EPL,24,969,6,6,2,3.2402340713888407,1.0109455808997154,3.2402340713888407,0.30095053294633195,0.09389587438697047,0.30095053294633195,M S,28,17,0,0,5.78622486256063,8.282618189230561
53,Andros Townsend,Crystal Palace,EPL,38,3030,6,6,4,4.878757080994546,3.6999022867530584,4.878757080994546,0.14491357666320434,0.10989808772533836,0.14491357666320434,F M S,63,61,1,0,4.850387753918767,11.944321880117059
54,Nathan Redmond,Southampton,EPL,38,3283,6,6,4,7.911504412069917,5.312565145082772,7.911504412069917,0.21688559155841988,0.14563839873818138,0.21688559155841988,F M S,74,52,3,0,5.913362225517631,16.492730357684195
55,Xherdan Shaqiri,Liverpool,EPL,24,1048,6,6,3,4.059152172878385,1.8917570114135742,4.059152172878385,0.34859131255634984,0.16246004869009703,0.34859131255634984,M S,26,20,2,0,3.4201246555894613,7.922253351658583
56,Roberto Pereyra,Watford,EPL,33,2837,6,6,1,5.378575686365366,3.538155732676387,5.378575686365366,0.17062806195730806,0.11224322028229637,0.17062806195730806,M,57,34,3,0,6.263587720692158,12.57223891466856
57,Dominic Calvert-Lewin,Everton,EPL,35,1763,6,6,2,6.1705091297626495,1.6395726166665554,6.1705091297626495,0.31500046606842796,0.08369911259216675,0.31500046606842796,F M S,52,12,3,0,1.3697869274765253,8.368763284757733
58,James Milner,Liverpool,EPL,31,1775,5,2,4,3.3563821092247963,5.641537204384804,1.0728756012395024,0.17018275483393333,0.28604977374345486,0.05439932626003111,D M S,24,44,5,1,9.807761223986745,12.487557540647686
59,Mesut Özil,Arsenal,EPL,24,1751,5,5,2,2.226021744310856,4.29013523645699,2.226021744310856,0.11441573785721132,0.22050952100578478,0.11441573785721132,M S,11,45,2,0,8.060832222923636,11.982875283807516
60,Theo Walcott,Everton,EPL,37,2127,5,5,2,6.505236777476966,2.884311942383647,6.505236777476966,0.27525684530932154,0.12204422887377914,0.27525684530932154,M S,42,21,1,0,2.5488213505595922,10.27176570892334
61,Mark Noble,West Ham,EPL,31,2339,5,1,5,3.5902151502668858,1.7227640133351088,0.5456139929592609,0.13814423408465998,0.06628848277048302,0.020994125423827913,M S,17,21,6,1,5.9035784266889095,7.524794074706733
62,Dele Alli,Tottenham,EPL,25,1847,5,5,3,5.950443021953106,3.2933274190872908,5.950443021953106,0.28995120301883026,0.16047616010712298,0.28995120301883026,M S,39,27,4,0,5.540952812880278,12.95524089038372
63,Shane Long,Southampton,EPL,26,1262,5,5,1,5.4374797735363245,1.6013006325811148,5.4374797735363245,0.3877758951016396,0.11419735097646619,0.3877758951016396,F M S,30,13,3,0,1.3454699460417032,6.827495466917753
64,Gonzalo Higuaín,Chelsea,EPL,14,1100,5,5,0,5.379232861101627,1.4263602867722511,5.379232861101627,0.4401190522719513,0.116702205281366,0.4401190522719513,F S,46,15,0,0,1.8616342134773731,8.476495116949081
